id;warehouse_name;postal_code;phone_number
1;Buckinghamshire scalable Metal;e-markets Money Market Account Somoni;67394
2;programming connect invoice;microchip TCP;3816
3;Chief Cotton;metrics;40497
4;International;pink;98969
5;Cape Verde;multi-state wireless Pa'anga;88019
6;Keyboard;withdrawal orchestrate Analyst;91071
7;Assurance;Handcrafted Soft Soap Handmade;85580
8;firewall Multi-channelled;Pennsylvania Cambridgeshire Parks;98485
9;Investment Account Maryland;customer loyalty Future;96312
10;Incredible bandwidth-monitored Unbranded;Dynamic;44138
